state,local,mean,,,,,,,,,,,,,,,,
Jigawa,Yankwashi,90451.7534,,,,,,,,,,,,,,,,
Kaduna,Birnin Gwari,439061.7678,,,,,,,,,,,,,,,,
Kaduna,Chikun,702917.6707,,,,,,,,,,,,,,,,
Kaduna,Giwa,377897.4489,,,,,,,,,,,,,,,,
Kaduna,Igabi,825929.7055,,,,,,,,,,,,,,,,
Kaduna,Ikara,344838.1418,,,,,,,,,,,,,,,,
Kaduna,Jaba,157052.3173,,,,,,,,,,,,,,,,
Kaduna,Jema'A,258235.1183,,,,,,,,,,,,,,,,
Kaduna,Kachia,338468.7953,,,,,,,,,,,,,,,,
Kaduna,Kaduna North,312885.45,,,,,,,,,,,,,,,,
Kaduna,Kaduna South,305109.466,,,,,,,,,,,,,,,,
Kaduna,Kagarko,306589.9636,,,,,,,,,,,,,,,,
Kaduna,Kajuru,183670.5509,,,,,,,,,,,,,,,,
Kaduna,Kaura,166793.101,,,,,,,,,,,,,,,,
Kaduna,Kauru,336285.4222,,,,,,,,,,,,,,,,
Kaduna,Kubau,520846.5868,,,,,,,,,,,,,,,,
Kaduna,Kudan,162827.5088,,,,,,,,,,,,,,,,
Kaduna,Lere,555958.757,,,,,,,,,,,,,,,,
Kaduna,Makarfi,321632.0574,,,,,,,,,,,,,,,,
Kaduna,Sabon Gari,320434.7833,,,,,,,,,,,,,,,,
Kaduna,Sanga,214063.2505,,,,,,,,,,,,,,,,
Kaduna,Soba,542500.2958,,,,,,,,,,,,,,,,
Kaduna,Zangon Kataf,360622.884,,,,,,,,,,,,,,,,
Kaduna,Zaria,565567.7308,,,,,,,,,,,,,,,,
Kano,Ajingi,239619.6164,,,,,,,,,,,,,,,,
Kano,Albasu,213533.3643,,,,,,,,,,,,,,,,
Kano,Bagwai,211456.3729,,,,,,,,,,,,,,,,
Kano,Bebeji,248847.2285,,,,,,,,,,,,,,,,
Kano,Bichi,445252.321,,,,,,,,,,,,,,,,
Kano,Bunkure,242175.3577,,,,,,,,,,,,,,,,
Kano,Dala,483957.1804,,,,,,,,,,,,,,,,
Kano,Dambatta,367982.7104,,,,,,,,,,,,,,,,
Kano,Dawakin Kudu,382454.3916,,,,,,,,,,,,,,,,
Kano,Dawakin Tofa,424208.6994,,,,,,,,,,,,,,,,
Kano,Doguwa,193906.3383,,,,,,,,,,,,,,,,
Kano,Fagge,291916.8191,,,,,,,,,,,,,,,,
Kano,Gabasawa,262875.5934,,,,,,,,,,,,,,,,
Kano,Garko,219544.2736,,,,,,,,,,,,,,,,
Kano,Garun Malam,150436.4323,,,,,,,,,,,,,,,,
Kano,Gaya,265273.4781,,,,,,,,,,,,,,,,
Kano,Gezawa,399867.5522,,,,,,,,,,,,,,,,
Kano,Gwale,825782.9281,,,,,,,,,,,,,,,,
Kano,Gwarzo,327713.614,,,,,,,,,,,,,,,,
Kano,Kabo,142131.3494,,,,,,,,,,,,,,,,
Kano,Kano Municipal,353763.9821,,,,,,,,,,,,,,,,
Kano,Karaye,225782.4229,,,,,,,,,,,,,,,,
Kano,Kibiya,146385.8359,,,,,,,,,,,,,,,,
Kano,Kiru,312943.83,,,,,,,,,,,,,,,,
Kano,Kumbotso,997846.4213,,,,,,,,,,,,,,,,
Kano,Kunchi,211940.9125,,,,,,,,,,,,,,,,
Kano,Kura,186962.5926,,,,,,,,,,,,,,,,
Kano,Madobi,192410.5215,,,,,,,,,,,,,,,,
Kano,Makoda,206787.3492,,,,,,,,,,,,,,,,
Kano,Minjibir,351215.8834,,,,,,,,,,,,,,,,
Kano,Nassarawa,641461.4104,,,,,,,,,,,,,,,,
Kano,Rano,184905.243,,,,,,,,,,,,,,,,
Kano,Rimin Gado,101291.9619,,,,,,,,,,,,,,,,
Kano,Rogo,301983.413,,,,,,,,,,,,,,,,
Kano,Shanono,157862.9711,,,,,,,,,,,,,,,,
Kano,Sumaila,371164.5493,,,,,,,,,,,,,,,,
Kano,Takai,275061.9215,,,,,,,,,,,,,,,,
Kano,Tarauni,295562.1899,,,,,,,,,,,,,,,,
Kano,Tofa,123758.0173,,,,,,,,,,,,,,,,
Kano,Tsanyawa,169730.1318,,,,,,,,,,,,,,,,
Kano,Tudun Wada,278653.9702,,,,,,,,,,,,,,,,
Kano,Ungogo,888851.0263,,,,,,,,,,,,,,,,
Kano,Warawa,194546.6469,,,,,,,,,,,,,,,,
Kano,Wudil,214437.4466,,,,,,,,,,,,,,,,
Katsina,Bakori,343485.3825,,,,,,,,,,,,,,,,
